kmem:mm_page_free,kmem:kfree,L1-dcache-load-misses,LLC-stores,net_out,armv7_cortex_a7/l1d_cache/,timer:timer_start,armv7_cortex_a7/exc_return/,block:block_bio_frontmerge,armv7_cortex_a7/ld_retired/,ext4:ext4_da_update_reserve_space,L1-dcache-loads,armv7_cortex_a7/l1i_cache/,fib:fib_table_lookup,L1-icache-load-misses,minor-faults,rpm:rpm_return_int,task:task_newtask,net_in,armv7_cortex_a7/l2d_cache/,context-switches,LLC-load-misses,seconds,ioread,dTLB-load-misses,memory,timer:timer_cancel,sched:sched_stat_runtime,tcp:tcp_probe,raw_syscalls:sys_enter,armv7_cortex_a7/st_retired/,dTLB-store-misses,block:block_dirty_buffer,gpio:gpio_value,armv7_cortex_a7/br_immed_retired/,cpu-cycles,armv7_cortex_a7/cpu_cycles/,cpu,page-faults,ext4:ext4_free_inode,armv7_cortex_a7/l1d_cache_wb/,bus-cycles,ext4:ext4_es_lookup_extent_enter,irq:softirq_exit,sched:sched_process_exec,pkt_out,block:block_bio_remap,ext4:ext4_ext_load_extent,pagemap:mm_lru_activate,ext4:ext4_evict_inode,cache-misses,LLC-loads,iowritebytes,napi:napi_poll,writeback:sb_clear_inode_writeback,sched:sched_waking,armv7_cortex_a7/unaligned_ldst_retired/,err_out,filemap:mm_filemap_add_to_page_cache,drop_in,mmc:mmc_request_done,iowritetime,net:netif_rx,LLC-store-misses,ext4:ext4_journal_start,block:block_split,block:block_touch_buffer,workqueue:workqueue_execute_start,armv7_cortex_a7/bus_cycles/,armv7_cortex_a7/l1i_cache_refill/,L1-icache-loads,ioreadbytes,branch-loads,jbd2:jbd2_handle_stats,writeback:global_dirty_state,time,L1-dcache-stores,timer:timer_init,timer:tick_stop,filemap:mm_filemap_delete_from_page_cache,branch-instructions,ext4:ext4_sync_file_enter,iowrite,armv7_cortex_a7/mem_access/,iobusytime,armv7_cortex_a7/l1d_tlb_refill/,armv7_cortex_a7/inst_retired/,ext4:ext4_unlink_enter,ioreadtime,armv7_cortex_a7/l1i_tlb_refill/,pkt_in,armv7_cortex_a7/cid_write_retired/,drop_out,cache-references,err_in,armv7_cortex_a7/l2d_cache_wb/,ext4:ext4_releasepage,instructions,armv7_cortex_a7/pc_write_retired/,armv7_cortex_a7/exc_taken/,jbd2:jbd2_checkpoint_stats,ext4:ext4_writepages_result,armv7_cortex_a7/br_mis_pred/,random:credit_entropy_bits,kmem:kmem_cache_alloc,read_merge,iTLB-load-misses,armv7_cortex_a7/br_pred/,armv7_cortex_a7/l1d_cache_refill/,writeback:wait_on_page_writeback,L1-dcache-store-misses,branch-load-misses,kmem:mm_page_alloc_zone_locked,cpu-migrations,write_merge,branch-misses
350,23638,28159122,320980830,197468,3703093405,1885,1100316,0,1400097486,0,3623402413,5675634989,7,263789845,801,753,3,13893,335605119,715766,652688,5.008880569,0,15339,23,1890,5616912995,103,444184,891047142,14800,0,5,766781743,10992217306,11241308776,22.5,801,0,32315659,5546804320,0,5645,3,215,0,0,0,0,28815841,321875703,0,105,0,430596,1141363,0,0,0,1215,0,107,772172,0,0,0,395,5486925626,273771592,5591880583,0,1149621373,0,0,1626556508,3649274756,197,224275,0,756043492,0,0,3703939334,0,154300,7193417328,0,0,86466,195,1623,0,3648551066,0,387671,0,7070427162,746452868,798234,0,0,71672557,158,3231,0,7116,1152599468,32025632,0,27940433,70740712,12,4,0,71041445
164,22959,27239021,304107250,197230,3483902650,1820,1029278,0,1312223614,0,3509779863,5278118434,4,253196754,67,710,0,11755,301177022,681925,858152,5.009448417,0,12412,23.1,1823,5335745350,92,436282,853657111,13087,0,6,728065242,10714153462,10544935067,21.8,67,0,25939601,5373297985,0,5416,1,206,0,0,0,0,27582717,304990286,0,96,0,424959,1013521,0,0,0,1179,0,96,734313,0,0,0,363,5306975440,248958206,5358779642,0,1090326710,0,0,1626556518,3511575312,185,208129,0,721634924,0,0,3512501157,0,8801,6750330504,0,0,10438,191,1318,0,3543881232,0,173652,0,6885608696,712661204,755939,0,0,67446260,157,1470,0,10676,1089959036,26330848,0,26728722,67498926,68,2,0,67967067
356,23608,27873985,333153625,195723,3624519449,1949,1093802,0,1378101373,0,3652578752,5549449510,2,266494942,799,772,4,13657,315514462,711399,1465167,5.008935338,0,48959,23.1,1952,5664056606,107,440912,879360465,35059,0,5,755658950,11078622394,10936047881,23.5,799,0,26882248,5536305210,0,5787,3,208,0,0,0,0,28065842,334940736,0,107,0,427374,1129105,0,0,0,1249,0,109,1820712,0,0,0,406,5434606036,263415877,5668054497,0,1154941859,0,0,1626556528,3661523135,227,218155,0,756512700,0,0,3659995335,0,10978,7041064112,0,0,12334,192,1438,0,3684398248,0,177863,0,7142053087,739590163,789983,0,0,70791337,158,3251,0,20091,1138994309,26931427,0,28954744,73656538,76,1,0,70739054
162,22999,25218653,316574526,196380,3697896874,1814,1100282,0,1369135004,0,3637303673,5600049641,6,266264279,66,713,0,9530,312643622,716818,759341,5.011185132,0,16197,23.1,1819,5548144212,91,442981,888588416,13839,0,4,769368265,10942977514,11147044340,21.6,66,0,25118972,5525756256,0,5516,1,207,0,0,0,0,26023464,316458721,0,96,0,431502,1096553,0,0,0,1165,0,96,624827,0,0,0,366,5518072000,266352384,5635117978,0,1153899095,0,0,1626556537,3665730020,194,233703,0,766002872,0,0,3660663076,0,12343,7178718255,0,0,5277,180,1325,0,3632949590,0,148538,0,7063234476,745518679,797598,0,0,71127083,158,1486,0,8425,1152626063,25625305,0,25364064,71476062,69,1,0,70858068
1111,23787,31124004,294787712,203814,3545918320,1784,1048866,0,1322417222,0,3558159186,5349635776,5,246828403,1796,714,12,14552,303161688,686272,884699,5.009212909,0,9560,23.1,1789,5348244300,103,441538,859281780,6977,0,5,729236784,11287485955,10655625863,23.2,1795,0,27575624,5638245555,8,5822,11,221,0,0,0,0,33848637,293618914,0,105,0,426625,1143245,0,0,0,1150,0,107,774089,0,0,6,380,5498519721,249841159,5253074692,0,1075136773,0,0,1626556547,3505499121,189,196148,0,733626204,0,0,3521382845,0,10419,6897852124,0,0,3945,206,8389,0,3622941033,0,158193,0,7010175639,715873032,769028,0,0,67673053,156,5321,0,7469,1100134923,27711071,0,28756396,65201055,154,7,0,74087789
349,23424,30708590,331941168,202808,3696603625,2083,1103950,0,1374605146,0,3624698530,5652633141,15,265643093,313,877,4,10452,325796359,715796,1168237,5.010933910,0,11633,23.1,2088,5612468475,90,443507,887373154,13324,0,4,765551908,11034523340,11123777574,22.8,313,0,31093779,5572116289,8,5860,5,213,0,0,0,0,30526665,332313705,0,100,0,431183,1090526,0,0,0,1391,0,100,1243013,0,0,8,476,5583407832,267939028,5688298742,0,1153713926,0,0,1626556557,3656848440,223,227504,0,756454492,0,0,3652576213,0,30715,7173843404,0,0,15762,191,1304,0,3651429885,0,177937,0,7058293340,744362279,798961,0,0,70688144,163,2249,0,10154,1150441346,30742656,0,30641179,71540985,24,10,0,71084900
990,23785,49119618,318246933,205824,3391094379,1831,990207,0,1319728164,0,3317394170,5246573765,4,231545873,1760,748,8,16371,323538606,652153,3059737,5.010532936,0,15734,23,1834,5085907573,104,431540,856513298,11245,0,5,719722653,10428790954,10771972432,25,1760,0,39160576,5276112899,0,5736,7,235,0,0,0,0,44105119,319920626,0,106,0,415791,1125448,0,0,0,1206,0,108,3223809,0,0,0,389,5478225649,241711364,5118993173,0,1060286532,0,0,1626556566,3327760395,179,180821,0,722777711,0,0,3483054543,0,22062,6583079500,0,0,48959,210,8560,0,3356464049,0,289316,0,6575244727,715587547,733356,0,0,65678677,157,4877,0,7696,1071363239,37517499,0,46786183,65012189,87,11,0,67203136
1000,23227,37556599,309732020,200273,3337925598,1776,971824,0,1305167048,0,3283794889,5310708678,11,232618276,1673,702,8,14199,321489536,646022,3723443,5.009463839,0,14179,23.1,1781,4940485482,89,435746,800854595,20798,0,5,711539946,10425741874,10547537377,20.9,1673,0,35326172,5238814598,0,5594,8,208,0,0,0,0,39719305,307958655,0,102,0,421638,1105625,0,0,0,1143,0,102,3703452,0,0,0,357,5229284075,240078028,5071306597,0,1047176719,0,0,1626556576,3285978401,170,174077,0,680736527,0,0,3342435279,0,37395,6492580554,0,0,29631,194,1074,0,3291397953,0,572325,0,6437361228,689762508,728820,0,0,65494472,156,4396,0,15498,1055006147,34377850,0,36447095,64707275,531,10,0,63521043
1172,23752,38075491,335396895,202395,3423007923,1849,1005012,0,1314867619,0,3481544247,5236738180,3,256863373,2419,752,11,10113,320302122,665651,3178803,5.009224640,0,82444,23.1,1852,5215271256,102,437981,829274043,60964,0,5,756250772,11123572607,10823777625,24.6,2419,0,39916500,5527775663,0,5915,10,216,0,0,0,0,37437111,331942142,0,103,0,421497,1121585,0,0,0,1197,0,105,3029832,0,0,0,397,5461034785,243308320,5461022352,0,1130875205,0,0,1626556586,3528003192,198,184128,0,716623835,0,0,3448927254,0,10688,6700192627,0,0,4449,191,1307,0,3478547979,0,240147,0,6804238065,701635819,740156,0,0,66176068,157,6062,0,27172,1100058257,38871600,0,37738909,71549356,287,11,0,66962743
996,23172,35842798,321385478,198149,3641061494,1787,1058095,0,1369283734,0,3538960211,5636526195,2,252930242,1649,699,8,15544,338767221,694659,3937779,5.010248151,0,19376,23.1,1790,5365241276,89,440017,855717318,19626,0,5,759331664,11175959027,11250542294,23.7,1645,0,30344563,5625509393,0,5540,8,206,0,0,0,0,37646917,321873744,0,99,0,426499,1050584,0,0,0,1111,0,99,3797726,0,0,0,361,5589175799,256270389,5435567344,0,1133920038,0,0,1626556596,3557233972,222,201424,0,731931964,0,0,3571893845,0,43902,7038076503,0,0,26554,196,1346,0,3555996396,0,261907,0,6924345272,735896403,774756,0,0,69354701,156,4394,0,15805,1126798407,30456541,0,34700408,68797984,217,9,0,68315686
