kmem:mm_page_free,kmem:kfree,L1-dcache-load-misses,LLC-stores,net_out,armv7_cortex_a7/l1d_cache/,timer:timer_start,armv7_cortex_a7/exc_return/,block:block_bio_frontmerge,armv7_cortex_a7/ld_retired/,ext4:ext4_da_update_reserve_space,L1-dcache-loads,armv7_cortex_a7/l1i_cache/,fib:fib_table_lookup,L1-icache-load-misses,minor-faults,rpm:rpm_return_int,task:task_newtask,net_in,armv7_cortex_a7/l2d_cache/,context-switches,LLC-load-misses,seconds,ioread,dTLB-load-misses,memory,timer:timer_cancel,sched:sched_stat_runtime,tcp:tcp_probe,raw_syscalls:sys_enter,armv7_cortex_a7/st_retired/,dTLB-store-misses,block:block_dirty_buffer,gpio:gpio_value,armv7_cortex_a7/br_immed_retired/,cpu-cycles,armv7_cortex_a7/cpu_cycles/,cpu,page-faults,ext4:ext4_free_inode,armv7_cortex_a7/l1d_cache_wb/,bus-cycles,ext4:ext4_es_lookup_extent_enter,irq:softirq_exit,sched:sched_process_exec,pkt_out,block:block_bio_remap,ext4:ext4_ext_load_extent,pagemap:mm_lru_activate,ext4:ext4_evict_inode,cache-misses,LLC-loads,iowritebytes,napi:napi_poll,writeback:sb_clear_inode_writeback,sched:sched_waking,armv7_cortex_a7/unaligned_ldst_retired/,err_out,filemap:mm_filemap_add_to_page_cache,drop_in,mmc:mmc_request_done,iowritetime,net:netif_rx,LLC-store-misses,ext4:ext4_journal_start,block:block_split,block:block_touch_buffer,workqueue:workqueue_execute_start,armv7_cortex_a7/bus_cycles/,armv7_cortex_a7/l1i_cache_refill/,L1-icache-loads,ioreadbytes,branch-loads,jbd2:jbd2_handle_stats,writeback:global_dirty_state,time,L1-dcache-stores,timer:timer_init,timer:tick_stop,filemap:mm_filemap_delete_from_page_cache,branch-instructions,ext4:ext4_sync_file_enter,iowrite,armv7_cortex_a7/mem_access/,iobusytime,armv7_cortex_a7/l1d_tlb_refill/,armv7_cortex_a7/inst_retired/,ext4:ext4_unlink_enter,ioreadtime,armv7_cortex_a7/l1i_tlb_refill/,pkt_in,armv7_cortex_a7/cid_write_retired/,drop_out,cache-references,err_in,armv7_cortex_a7/l2d_cache_wb/,ext4:ext4_releasepage,instructions,armv7_cortex_a7/pc_write_retired/,armv7_cortex_a7/exc_taken/,jbd2:jbd2_checkpoint_stats,ext4:ext4_writepages_result,armv7_cortex_a7/br_mis_pred/,random:credit_entropy_bits,kmem:kmem_cache_alloc,read_merge,iTLB-load-misses,armv7_cortex_a7/br_pred/,armv7_cortex_a7/l1d_cache_refill/,writeback:wait_on_page_writeback,L1-dcache-store-misses,branch-load-misses,kmem:mm_page_alloc_zone_locked,cpu-migrations,write_merge,branch-misses
1531,23950,38253551,308469368,195875,3461586926,1787,1002705,0,1265862538,0,3314573278,5172524513,6,228320862,3270,721,16,9928,321871516,639782,4225428,5.009201264,0,16492,23.1,1785,5022825325,99,428565,799289832,15598,0,5,716180111,10509851926,10922664922,23.4,3270,0,41893166,5329074615,0,5959,14,209,0,0,0,0,39973874,306066538,0,100,0,410788,1108358,0,0,0,1155,0,102,4201581,0,0,0,381,5329255970,223290555,5092474602,0,1066807324,0,0,1626556605,3321457689,187,165181,0,687295234,0,0,3299478956,0,104909,6790847288,0,0,21062,186,7361,0,3330312367,0,292444,0,6511025472,685475324,751956,0,0,64699450,156,8048,0,15650,1069447659,37654911,0,37349246,65392838,489,9,0,63859573
1366,22783,37517489,313920323,196038,3569591734,1765,1046054,0,1338235731,0,3510270334,5386366674,4,243619534,2531,722,13,13843,336089264,675750,3823983,5.009485007,0,18045,23.2,1768,5066319349,91,440280,836092296,17772,0,5,740979204,11318494982,11144584126,20.3,2531,0,35980561,5688036782,0,5568,12,204,0,0,0,0,40514039,313128385,0,107,0,425031,1144086,0,0,0,1143,0,107,3794067,0,0,0,372,5480821612,237532932,5332639529,0,1099505404,0,0,1626556615,3510758193,184,196963,0,720273005,0,0,3487243241,0,24250,7009293806,0,0,7898,190,1320,0,3555369267,0,213272,0,6945778300,718854489,772322,0,0,67760243,153,6341,0,16460,1111941912,32106847,0,36064988,67147881,357,13,0,69327409
1517,23943,37299080,294319698,203855,3420179086,1801,971999,0,1293270496,0,3308123566,5261572860,19,230377802,3259,741,16,10497,319401527,634568,4318686,5.010028808,0,4762,23.1,1803,4954686685,100,434013,787384817,7598,0,5,695229308,10441647179,10550540861,23.3,3259,0,33336218,5218330644,0,5881,14,221,0,0,0,0,38562030,296152773,0,106,0,415962,1025325,0,0,0,1180,0,108,4073053,0,0,0,383,5148486781,236437362,5029898320,0,1030226370,0,0,1626556624,3311264251,178,160975,0,674604154,0,0,3299186235,0,190485,6660210270,0,0,108668,195,1333,0,3289401177,0,591789,0,6476022683,681371826,741579,0,0,63456703,157,7888,0,9069,1035925028,32534525,0,36481523,63288936,426,8,0,63347323
1355,23393,48074483,306681634,200832,3326744232,1799,983716,0,1262008288,0,3333944636,5074238775,12,228181760,2535,731,13,14605,304128271,644451,3077694,5.009224272,0,14717,23.2,1798,4991337381,93,435096,808165446,15694,0,5,710636693,10663668915,10846165676,20.5,2536,0,36382716,5493919222,0,5671,12,212,0,0,0,0,43591441,307066144,0,108,0,419589,1103609,0,0,0,1160,0,108,3283279,0,0,0,373,5496604290,232281591,5034840030,0,1042586883,0,0,1626556634,3316926664,185,165852,0,724157361,0,0,3320483353,0,13038,6494392793,0,0,9361,197,1216,0,3428522142,0,221416,0,6651199608,677277641,734841,0,0,65474356,157,6348,0,11289,1064232665,35291185,0,44978080,64438699,419,12,0,71571761
1523,23929,35318002,298260154,201475,3437201089,1811,1012079,0,1253663660,0,3277717681,5010590395,3,231589916,3251,737,16,10243,312736485,635307,4802180,5.009351933,0,20251,23.1,1808,5007212261,102,434520,786872977,27742,0,6,708997435,10210694915,11066536617,21.9,3251,0,47372610,5082996286,0,5895,14,217,0,0,0,0,34931404,300551344,0,104,0,416642,1118552,0,0,0,1173,0,106,4319773,0,0,0,385,5049506490,222580221,5086800543,0,1034719318,0,0,1626556644,3317735754,188,158603,0,676129527,0,0,3262815912,0,52487,6861400699,0,0,9755,192,1274,0,3258749562,0,250715,0,6377137581,668495863,756459,0,0,66950821,157,7874,0,41275,1063432915,43807989,0,35583687,63696008,175,13,0,63399613
1365,23412,34609515,318521687,197827,3479404088,1778,1023164,0,1315204434,0,3546570188,5289679449,2,251185974,2521,708,13,13525,312827745,672118,2682388,5.008874134,0,15119,23.2,1778,5056020004,94,425294,833503526,8162,0,4,760226082,11216154782,10907320270,22.7,2521,0,37682659,5706850526,0,5608,12,203,0,0,0,0,36144364,316311139,0,104,0,410126,1027701,0,0,0,1151,0,104,2383212,0,0,0,361,5617890209,242546216,5509665514,0,1132495978,0,0,1626556654,3593454308,167,210451,0,735554695,0,0,3467818825,0,10463,6782710964,0,0,6712,191,3782,0,3549346416,0,200027,0,6913666776,709430997,744134,0,0,66450285,155,6336,0,7131,1113806349,37027631,0,33067015,68910518,419,13,0,67894072
1349,23334,32077292,333293543,196010,3452474326,1761,1018250,0,1321386689,0,3582156206,5258885183,2,242504392,2508,723,13,12418,312502931,673775,1301754,5.008767228,0,15862,23.2,1761,5066619763,93,426296,849457859,10837,0,5,746325357,11344652575,10899228081,23.8,2508,0,37510393,5768840002,0,5721,12,210,0,0,0,0,36650104,325041146,0,101,0,411203,1184895,0,0,0,1144,0,101,1156309,0,0,0,382,5727612325,240504463,5393638610,0,1114930912,0,0,1626556663,3579914321,165,204118,0,739379089,0,0,3488155537,0,4266,6749428159,0,0,4432,192,3522,0,3610827196,0,198662,0,7048656400,717839111,741515,0,0,65931722,155,6327,0,9352,1100224435,36247176,0,29388056,65863749,167,15,0,69556702
1351,23428,33805686,328871582,199369,3548651951,1789,1045230,0,1363020181,0,3603647764,5449586722,3,257457639,2517,706,13,15032,327954108,691956,4517190,5.008806685,0,47613,23.2,1788,5490890069,88,438004,865751942,51007,0,5,783462929,11472009731,10911318782,24,2517,0,39138213,5726809899,0,5762,12,208,0,0,0,0,34482544,327857475,0,101,0,422895,1103879,0,0,0,1120,0,101,4451737,0,0,0,367,5683050440,256715503,5447772098,0,1151352635,0,0,1626556673,3590561819,231,204827,0,741640399,0,0,3595464533,0,12439,6911620971,0,0,4318,197,1378,0,3630085067,0,198712,0,7048055978,736537393,764861,0,0,71387063,156,6318,0,33752,1135962424,39617798,0,33181007,72426915,293,8,0,70109559
1347,23458,32401735,340488128,198187,3541704301,1813,1050189,0,1357851140,0,3628892463,5427326881,5,257836696,2523,708,13,10313,320548259,688455,2725361,5.008696819,0,12686,23.2,1815,5418780253,94,433703,861431239,12003,0,5,752935332,11375023524,11088402940,23.2,2522,0,34964950,5698406643,0,5731,12,213,0,0,0,0,34847137,338162682,0,99,0,419101,1129906,0,0,0,1146,0,99,1975456,0,0,0,372,5636838632,254124181,5640851121,0,1125055150,0,0,1626556682,3651829337,222,209537,0,734497575,0,0,3582285117,0,14035,6906963583,0,0,8255,190,1382,0,3600582117,0,202266,0,7043300958,730404752,763132,0,0,68105082,156,6321,0,10388,1117841624,34910821,0,30185841,67692310,420,18,0,68859792
695,23157,29002207,321867388,201753,3638478072,1752,1095489,0,1385642493,0,3653209029,5533576328,2,260337899,1731,705,8,15816,332733306,711600,781293,5.009147691,0,27019,23.2,1755,5277477841,90,441664,886902511,30908,0,5,816736426,11147485775,11578003371,21.4,1730,0,40146823,5600067170,0,5523,8,218,0,0,0,0,29476300,320042152,0,101,0,427511,1062339,0,0,0,1153,0,101,1201553,0,0,0,350,5583679992,256406228,5559862884,0,1177633168,0,0,1626556692,3661181411,154,227188,0,764549163,0,0,3659636789,0,15012,7102319735,0,0,11255,201,1354,0,3700627929,0,210405,0,7169620407,748150732,787927,0,0,73151607,156,4608,0,22242,1193032918,39212130,0,28587333,73435367,153,14,0,71480173
537,23208,28155583,319542403,187966,3555719812,1821,1058790,0,1327769266,0,3595982761,5380492810,2,261115310,933,706,5,9284,309895963,697679,1611313,5.009419240,0,13556,23.1,1822,5434784562,92,443055,868110567,15133,0,4,737382662,10897035732,10763424263,23.1,933,0,28484763,5468884106,0,5645,5,198,0,0,0,0,28778839,323362904,0,94,0,430316,1118455,0,0,0,1172,0,94,1563776,0,0,0,359,5444125635,254570427,5540738345,0,1110335375,0,0,1626556701,3607250370,190,214333,0,749338135,0,0,3564840304,0,18266,6918494146,0,0,15015,175,1355,0,3607770316,0,206592,0,7009180492,724175207,776125,0,0,68094740,157,3384,0,9894,1105428262,28117016,0,28160281,69739027,19,6,0,69785396
177,22954,26775445,313204902,193650,3706193069,1838,1102713,0,1393350993,0,3695046577,5631797028,9,260271950,47,757,0,15498,313716801,723577,614368,5.008915492,0,12520,23.2,1841,5295417080,95,444259,897996460,12853,0,5,767976016,11140275904,11117246661,20.3,47,0,26458697,5599184120,0,5512,1,208,0,0,0,0,27209838,313353120,0,105,0,433262,1107033,0,0,0,1221,0,105,675118,0,0,0,377,5547791895,262483783,5628654919,0,1155165560,0,0,1626556711,3698895072,154,235574,0,757674949,0,0,3718280170,0,10266,7198088095,0,0,6939,197,1328,0,3720869083,0,162040,0,7210249540,755592525,798618,0,0,70209958,158,1514,0,5942,1155210683,26394149,0,26153677,69750059,6,0,0,70177785
151,22884,25440952,306148085,193561,3621620850,1816,1083829,0,1376553612,0,3610710579,5501528348,3,257928150,64,707,0,9558,309146601,707539,681446,5.009325231,0,7749,23.2,1818,5441156258,92,441716,887560418,9621,0,4,753567733,10938394343,10914852575,22.8,64,0,24112576,5504550965,0,5433,1,206,0,0,0,0,25581275,306482348,0,95,0,430497,1174367,0,0,0,1180,0,95,649772,0,0,0,361,5497141626,259438508,5474716599,0,1129313580,0,0,1626556720,3609012503,180,226249,0,752657461,0,0,3665483438,0,5519,7054121559,0,0,17146,180,1360,0,3646543379,0,194383,0,7074949791,745873817,785410,0,0,70454332,157,1282,0,7953,1138053056,24719733,0,24941148,69712884,5,2,0,70678009
176,23072,28824760,314763264,193033,3605589523,1836,1076920,0,1388852475,0,3634931378,5587804916,2,261251219,83,729,0,13280,323837027,711887,550510,5.009376698,0,13003,23.2,1839,5507681399,95,441046,890722079,10759,0,5,752678278,11093780524,10976006686,21.7,83,0,28031960,5624627310,0,5475,1,203,0,0,0,0,29415243,316550741,0,98,0,429526,1135077,0,0,0,1178,0,98,662211,0,0,0,377,5593266596,266975900,5520655145,0,1124020192,0,0,1626556730,3639720392,199,228990,0,764955597,0,0,3704349908,0,5663,6989506879,0,0,12984,184,1403,0,3684552775,0,186206,0,7109660540,753125315,780931,0,0,70815901,158,1670,0,7703,1131170050,27801665,0,28403006,69482994,5,2,0,72006265
144,22924,27733626,317382373,191803,3657164627,1764,1086300,0,1385619123,0,3602917053,5606383020,4,261127309,66,675,0,9938,322208991,711192,787144,5.010821814,0,13384,23.2,1768,5557225913,89,441402,886180175,12739,0,4,745938250,11089579337,11000950163,22.9,66,0,27820391,5598170892,0,5473,1,200,0,0,0,0,28692598,317931705,0,96,0,429918,1121856,0,0,0,1122,0,96,799249,0,0,0,349,5535692206,268371695,5505948695,0,1127637126,0,0,1626556739,3601462801,192,231546,0,769077477,0,0,3680335237,0,9864,7096728356,0,0,6239,183,1342,0,3672500871,0,162192,0,7085796652,745404352,789425,0,0,70046837,156,1441,0,8220,1122700438,27763039,0,27624568,70101746,1,1,0,71548084
350,23565,27514652,318488684,202434,3693545464,1850,1104181,0,1358740767,0,3677589138,5596023024,3,265853511,801,726,3,15941,314063644,715522,881285,5.009205270,0,17758,23.2,1856,5653459737,99,443208,884716716,52152,0,5,767240385,11156952056,11260942473,23.7,797,0,30216388,5596975093,0,5609,3,216,0,0,0,0,27805356,319853582,0,100,0,429732,1091208,0,0,0,1179,0,102,852663,0,0,0,379,5508173023,265289136,5614867346,0,1153063745,0,0,1626556749,3685887766,213,226804,0,756907035,0,0,3633795176,0,107283,7157598720,0,0,30957,201,1339,0,3703941656,0,174390,0,7189863056,738289323,801297,0,0,73192690,157,3173,0,59223,1142381992,30085490,0,26918798,71201088,12,5,0,71257981
166,23021,28037766,315385621,202100,3673911493,1746,1106840,0,1390111573,0,3679065882,5593613509,12,260658569,48,702,0,9302,316202265,722523,667739,5.008679454,0,10533,23.1,1753,5289280012,88,442608,895071012,9040,0,5,762915502,11115664807,11063056944,22.6,47,0,28310173,5573398919,0,5186,1,212,0,0,0,0,28558068,315727438,0,93,0,431503,1135886,0,0,0,1154,0,93,539198,0,0,0,355,5515151083,261182802,5580059451,0,1148718698,0,0,1626556758,3682053126,139,237153,0,760960075,0,0,3702168448,0,11636,7147537876,0,0,9113,177,1372,0,3705066458,0,146103,0,7196496968,751392688,797680,0,0,69461944,157,1468,0,7850,1149655602,27870330,0,27692152,69195434,69,2,0,69660630
342,23619,28338461,308351770,199162,3596047263,1897,1084346,0,1355381709,0,3570715016,5436024920,4,257012212,819,752,3,14085,312517869,701627,911235,5.009380457,0,14899,23.2,1901,5488343809,103,441148,875867632,19956,0,4,755944714,10896297236,11301361033,22.2,819,0,28782229,5471376105,0,5659,3,213,0,0,0,0,28667464,311247811,0,105,0,427287,1085290,0,0,0,1219,0,107,1018466,0,0,0,392,5432685928,256987179,5432945230,0,1100101500,0,0,1626556768,3575107974,201,218473,0,741817017,0,0,3606125109,0,7285,7029262391,0,0,8861,200,1378,0,3610648748,0,150178,0,6989972716,730807719,788423,0,0,73045241,159,3190,0,34414,1147681994,28373584,0,27800805,68069790,139,7,0,69884716
166,22935,27305200,299414742,196175,3487954721,1723,1030383,0,1317205162,0,3439886250,5295483421,6,244160401,45,702,0,9347,300856498,680916,864452,5.008781682,0,7988,23.2,1729,5071177012,90,440225,845354154,7995,0,6,721103440,10453285455,10432512146,22.1,45,0,27885870,5304850165,0,5420,1,205,0,0,0,0,27830201,299095118,0,93,0,428889,1062293,0,0,0,1139,0,93,821940,0,0,0,354,5271876983,246434118,5237600519,0,1073704504,0,0,1626556778,3440402707,134,204315,0,715619786,0,0,3491029713,0,7433,6755796276,0,0,11993,179,1421,0,3476313438,0,150063,0,6744702072,705016336,759012,0,0,66931015,156,1474,0,4418,1081600031,27084731,0,26784930,67310648,68,6,0,67893851
328,23499,28891310,320994467,202433,3703569158,1802,1106287,0,1370598523,0,3710288285,5628691737,2,268820731,819,708,3,14416,317437084,716967,821417,5.009379841,0,15741,23.2,1807,5620290919,101,446479,888647823,29531,0,5,770918900,11249518223,11289846026,22.7,819,0,30979952,5669150310,0,5603,3,213,0,0,0,0,29193833,322705041,0,103,0,432525,1039565,0,0,0,1147,0,105,636456,0,0,0,371,5576287217,267475504,5654068917,0,1153976686,0,0,1626556787,3715496410,192,231212,0,759654834,0,0,3652368849,0,75069,7159565452,0,0,18154,197,1298,0,3722473711,0,149350,0,7246291273,742170891,801255,0,0,73372985,156,3140,0,43580,1154873113,31068615,0,28312610,71945971,73,3,0,71893841
361,23566,28943678,314295096,197810,3554766123,2053,1048692,0,1332599385,0,3507417892,5427187098,7,251996551,315,901,6,9763,309879265,688202,2054971,5.009162164,0,24467,23.2,2056,5213461520,91,442329,858421734,10819,0,5,722660177,10703938429,10616452936,20.8,315,0,30504927,5321883115,8,5506,5,207,0,0,0,0,28733694,319779134,0,95,0,429501,1056639,0,0,0,1411,0,95,1840324,0,0,8,505,5281524360,251853472,5458550415,0,1087694970,0,0,1626556797,3519276285,169,203769,0,725934886,0,0,3546555634,0,27054,6877058735,0,0,8634,187,1283,0,3523449192,0,183541,0,6879438127,718525004,770617,0,0,66575397,163,2299,0,7097,1089724627,28955200,0,29307636,68837783,90,4,0,66728910
1222,23861,42329569,317501529,193978,3521966983,1863,1032782,0,1346860655,0,3534297539,5393876119,5,243669100,1935,733,9,9673,317636336,683963,3180920,5.009784234,0,10456,23.1,1864,5362994907,100,439123,878273535,10016,0,4,742362403,11416370736,10992452145,23.5,1935,0,34162939,5706540098,0,5960,8,209,0,0,0,0,39189372,318356171,0,102,0,422975,1211318,0,0,0,1189,0,104,3456743,0,0,0,378,5705988656,251207500,5295825029,0,1102800257,0,0,1626556806,3512960073,212,192563,0,751061497,0,0,3578002637,0,15403,6837135872,0,0,10028,182,9033,0,3583839717,0,221459,0,6988970191,735661626,757079,0,0,66568572,157,5576,0,9720,1099045591,33691613,0,40333847,66158393,154,27,0,73460771
1386,23432,47380003,319460419,205404,3437025181,1798,999502,0,1312895416,0,3412974468,5300271377,9,240482697,2538,704,13,14415,318964604,662961,3067643,5.009344593,0,14052,23.2,1799,5129328692,95,433701,848169579,12422,0,5,716963259,11012338765,10849551096,22.1,2531,0,37006041,5616319618,0,5561,12,220,0,0,0,0,46110270,320742641,0,101,0,418345,1161386,0,0,0,1156,0,101,3211436,0,0,0,367,5632341345,248042333,5164311044,0,1069997043,0,0,1626556816,3394052871,181,192311,0,749566186,0,0,3467848249,0,19003,6699731734,0,0,15706,201,2032,0,3508582655,0,199617,0,6830022939,713250226,742183,0,0,66129282,155,6499,0,7041,1066454334,35956052,0,44046821,66447930,357,13,0,72729621
1693,24054,34398264,322398877,205081,3595068477,1904,1094130,0,1377816638,0,3626394223,5440658172,5,261780091,3534,740,21,12816,325172422,698671,3074250,5.009340625,0,183404,23.1,1906,5530801029,101,442756,882163988,215505,0,5,809978097,11568253736,11680801579,24.2,3534,0,36449480,5809687196,8,6121,18,223,0,0,0,0,34868759,320872230,0,103,0,424375,1148561,0,0,0,1221,0,105,2397112,0,0,8,386,5769909662,255530930,5574433967,0,1163895102,0,0,1626556826,3631327829,228,202703,0,760634073,0,0,3654067504,0,11710,7017591650,0,0,12460,209,1445,0,3658698175,0,240770,0,7105927608,748705348,787923,0,0,74586385,157,8488,0,149406,1174973608,36828451,0,33822742,74107670,120,10,0,70487113
1364,23431,36009356,327098537,194745,3715114331,1807,1079446,0,1365587445,0,3554382181,5481484137,2,256742180,2515,722,13,13183,331330605,693462,3722203,5.008868484,0,16360,23.2,1812,5405326212,94,436705,865269929,16057,0,5,761383203,11230153557,11562963956,23.8,2513,0,41477113,5645656001,0,5737,12,201,0,0,0,0,37779011,326829273,0,104,0,421460,1191920,0,0,0,1163,0,104,3923735,0,0,0,368,5607365826,251111526,5490229264,0,1137400866,0,0,1626556836,3581271174,212,214240,0,747311105,0,0,3591858509,0,38142,7331243633,0,0,9022,185,1501,0,3568983708,0,493504,0,6945392810,739478502,787849,0,0,68699364,156,6498,0,8676,1136855724,40350446,0,35346541,69265563,482,7,0,68423790
1541,24031,39705078,311406650,199261,3416801420,1864,1001204,0,1346002888,0,3377621940,5314173425,7,245772451,3271,731,16,10182,308241912,658825,4617075,5.009308230,0,30655,23.1,1864,5352994668,101,436697,837023128,17924,0,5,713290459,10875150155,10843336740,25.1,3271,0,31340776,5377943095,0,6043,14,214,0,0,0,0,41328549,318705845,0,103,0,418710,1079976,0,0,0,1184,0,105,4458443,0,0,0,387,5322594625,250613353,5152103998,0,1051957009,0,0,1626556845,3399828153,230,171551,0,711800932,0,0,3500512226,0,10544,6641460760,0,0,24196,191,1416,0,3368400108,0,824782,0,6642406071,717741224,744154,0,0,65621314,157,8016,0,10084,1068629642,31949822,0,39240374,65288999,237,18,0,65617618
1346,22309,35937501,315423082,192785,3651275908,1790,1071602,0,1366510588,0,3612912099,5561397191,5,254535651,2524,723,13,13883,321327140,695118,3575970,5.008793864,0,14900,23.2,1792,5397667034,89,434289,842149822,13922,0,5,763233767,11462255401,11379114818,21.7,2524,0,25666183,5665727527,0,5725,12,200,0,0,0,0,37501277,315811118,0,106,0,419757,1070233,0,0,0,1154,0,106,3839433,0,0,0,373,5583340784,256342926,5414148127,0,1133284953,0,0,1626556855,3611436917,211,205779,0,740898025,0,0,3527402108,0,34662,7122847507,0,0,18159,191,1277,0,3612691778,0,291886,0,7120390366,731323181,780790,0,0,70096270,151,6324,0,10571,1137082356,26693485,0,34544943,69523553,356,12,0,69267024
1537,23867,34792204,304069455,197982,3322216308,1819,967881,0,1294030641,0,3298582154,5103335241,7,228755024,3265,736,16,9885,306063257,640395,4202625,5.009279184,0,75953,23.1,1821,4978321589,99,439054,819400642,104526,0,5,741982392,10503120817,10618574254,23,3265,0,42552287,5283507813,0,5774,14,211,0,0,0,0,36127483,297918377,0,101,0,421200,1134504,0,0,0,1186,0,103,3853506,0,0,0,380,5271764570,230237455,5060139327,0,1078250322,0,0,1626556864,3298477034,182,157816,0,691690862,0,0,3394418339,0,88565,6487178045,0,0,26339,187,1410,0,3321714885,0,453869,0,6486431722,692341978,726750,0,0,67953307,156,7829,0,85709,1075474771,42149366,0,34794410,68421953,489,9,0,63643921
