dTLB-load-misses,armv7_cortex_a7/pc_write_retired/,time,iowritetime,filemap:mm_filemap_delete_from_page_cache,iowritebytes,cpu-migrations,armv7_cortex_a7/l1d_cache/,armv7_cortex_a7/exc_return/,block:block_dirty_buffer,sched:sched_process_exec,L1-icache-loads,branch-misses,jbd2:jbd2_handle_stats,armv7_cortex_a7/l1i_cache_refill/,L1-dcache-store-misses,armv7_cortex_a7/br_mis_pred/,napi:napi_poll,pkt_out,drop_in,drop_out,sched:sched_stat_runtime,timer:timer_cancel,armv7_cortex_a7/l1d_cache_wb/,armv7_cortex_a7/cid_write_retired/,branch-instructions,ext4:ext4_da_update_reserve_space,task:task_newtask,armv7_cortex_a7/inst_retired/,block:block_touch_buffer,kmem:kfree,armv7_cortex_a7/br_immed_retired/,block:block_bio_remap,armv7_cortex_a7/unaligned_ldst_retired/,random:credit_entropy_bits,rpm:rpm_return_int,tcp:tcp_probe,cache-misses,cpu,armv7_cortex_a7/cpu_cycles/,armv7_cortex_a7/l1i_cache/,ext4:ext4_free_inode,instructions,iTLB-load-misses,dTLB-store-misses,ext4:ext4_es_lookup_extent_enter,ioreadtime,context-switches,L1-dcache-loads,filemap:mm_filemap_add_to_page_cache,armv7_cortex_a7/bus_cycles/,timer:timer_start,block:block_bio_frontmerge,kmem:mm_page_free,branch-load-misses,seconds,kmem:mm_page_alloc_zone_locked,memory,ext4:ext4_ext_load_extent,LLC-store-misses,armv7_cortex_a7/mem_access/,jbd2:jbd2_checkpoint_stats,writeback:wait_on_page_writeback,timer:tick_stop,pkt_in,raw_syscalls:sys_enter,armv7_cortex_a7/br_pred/,iobusytime,minor-faults,kmem:kmem_cache_alloc,writeback:sb_clear_inode_writeback,armv7_cortex_a7/exc_taken/,net_out,cpu-cycles,err_out,L1-dcache-load-misses,block:block_split,armv7_cortex_a7/l1d_tlb_refill/,workqueue:workqueue_execute_start,writeback:global_dirty_state,ext4:ext4_unlink_enter,irq:softirq_exit,err_in,ioreadbytes,read_merge,LLC-stores,ext4:ext4_writepages_result,net:netif_rx,ioread,armv7_cortex_a7/st_retired/,mmc:mmc_request_done,gpio:gpio_value,pagemap:mm_lru_activate,armv7_cortex_a7/l2d_cache/,sched:sched_waking,L1-icache-load-misses,LLC-load-misses,net_in,L1-dcache-stores,fib:fib_table_lookup,armv7_cortex_a7/ld_retired/,ext4:ext4_evict_inode,bus-cycles,armv7_cortex_a7/l1d_cache_refill/,page-faults,ext4:ext4_journal_start,armv7_cortex_a7/l1i_tlb_refill/,ext4:ext4_sync_file_enter,write_merge,armv7_cortex_a7/l2d_cache_wb/,cache-references,LLC-loads,branch-loads,ext4:ext4_releasepage,timer:timer_init,iowrite
6948,753731759,1626547544,0,0,0,2,3695930538,1106952,0,3,5690002260,69435735,0,258207792,32698869,67877358,112,208,0,0,5376705310,1822,29395884,1640,762754790,0,3,7162468621,0,23550,754692378,0,217852,159,765,98,30203008,23,10982014045,5615661704,0,7205271333,9974,7691,0,0,721799,3691297831,0,5586855282,1821,0,332,68490263,5.011157758,12,15.6,0,1578074,3694544793,0,0,230955,195,446691,1143060783,0,814,3072,0,799960,195757,11212995868,0,31996056,0,12087,386,0,0,5751,0,0,0,321061301,0,114,0,897855575,1218,5,0,316151817,432605,266293574,1837574,14416,3707011631,3,1383613268,0,5596347315,28537365,814,0,7666,0,0,164414,3712048359,330134813,1140994025,0,146,0
18084,758108615,1626547554,0,0,0,1,3731319402,1104418,0,1,5657275990,70591235,0,259472530,29701101,70805852,99,205,0,0,5335580959,2031,31327806,1452,761489115,0,0,7267735720,0,23510,771242639,0,198190,162,887,94,30399943,22.4,11145202749,5732395975,0,7247914267,15916,18501,0,0,720557,3704470388,0,5578026678,2030,0,209,70783520,5.009398280,141,15.7,0,815141,3717872260,0,0,234055,178,443810,1156981169,0,50,1918,0,798777,194344,11195536709,0,30428953,0,46068,486,0,0,5707,0,0,0,318967761,0,99,0,901351723,1403,5,0,317132622,431709,258646540,693449,9361,3703529875,8,1390488225,0,5620336155,30565563,47,0,16198,0,0,164828,3727483090,317870900,1161523135,0,155,0
11147,738818311,1626547563,0,0,0,3,3641307782,1075820,0,11,5523344420,70843156,0,266566489,27855579,69965560,110,225,0,0,5648940428,1943,32458993,1333,755648340,0,11,7070044602,16,23684,746915808,0,200635,159,773,100,28867245,22.4,10926857568,5613205088,0,7104305033,8698,10783,16,0,706763,3638312030,0,5448586797,1940,0,622,70720291,5.010264425,28,15.6,0,579414,3651457963,0,0,215863,209,443029,1126495068,0,1303,4053,0,786065,204278,11018448316,0,27975454,0,123031,408,0,0,5738,0,0,0,312858636,0,112,0,882661667,1250,5,0,327030653,428163,259810376,809829,14717,3633677959,6,1381869871,0,5535411390,32083752,1303,0,56003,0,0,496024,3654091766,312401239,1124947462,0,223,0
5707,750096588,1626547573,0,0,0,0,3655791585,1097211,0,13,5585838778,71707476,0,263704858,25009292,71732836,103,215,0,0,5599858018,1903,24930223,1347,756578195,0,12,7077977981,24,23387,762726022,0,151649,158,748,96,26357012,24,11062679131,5622528576,0,7225964061,9321,7904,24,0,717576,3696014579,0,5557476622,1898,0,616,70977899,5.008861821,29,15.7,0,625480,3682549566,0,0,222598,188,444624,1148703934,0,789,3161,0,794326,202010,11223197311,0,25971502,0,18608,391,0,0,5780,0,0,0,307598896,0,103,0,896245695,1215,5,0,313502655,431635,261769523,715077,10019,3685267218,12,1385382717,0,5639794752,25141537,789,0,14318,0,0,226311,3711503008,307619179,1138128525,0,221,0
156997,740527623,1626547583,0,0,0,2,3547854535,1065272,0,3,5508310900,69749596,0,256265846,28122333,72029248,110,209,0,0,5519226338,1831,27532729,1403,753258649,0,3,6885525289,0,23502,764266275,0,265476,158,724,99,28615557,24.4,10802751948,5462458942,0,7057707832,102181,148231,0,0,706778,3605156191,0,5472453583,1825,0,302,73371836,5.009211040,8,15.7,0,1254052,3649077472,0,0,217244,195,445895,1125542603,0,815,3016,0,773398,197761,10939489391,0,28353959,0,10361,369,0,0,5727,0,0,0,324047746,0,112,0,881668400,1179,4,0,313687257,431933,256344229,980417,13793,3609622784,8,1369897590,0,5485031026,27502392,815,0,9299,0,0,144234,3638798834,318702346,1141804058,0,186,0
11153,747011288,1626547592,0,0,0,2,3669464999,1090052,0,1,5531586763,68415559,0,257293281,26643019,68612849,100,218,0,0,5280635189,1818,27577408,1309,758606921,0,0,7096568312,0,23107,753581912,0,222085,158,740,97,27462907,21.5,10909203301,5614461124,0,7078332685,6270,11228,0,0,715801,3634195683,0,5462736112,1814,0,177,69022592,5.009279061,5,15.7,0,814711,3682080068,0,0,227662,191,442490,1135517968,0,68,1678,0,790683,205218,10906190953,0,26796018,0,15736,377,0,0,5674,0,0,0,308289706,0,100,0,888414017,1201,5,0,308647481,430596,253916452,633436,10063,3637873512,3,1379945679,0,5483204757,27260427,68,0,9907,0,0,182090,3646736499,307480005,1137529257,0,155,0
16029,748655143,1626547602,0,0,0,0,3746486731,1116421,0,3,5625980764,69928232,0,265581210,28697085,70298040,110,218,0,0,5375237626,1844,34092382,1337,757690865,0,3,7283929393,0,23512,767292904,0,221499,158,772,100,29633554,20.8,11240476661,5709370297,0,7208163149,6752,15134,0,0,724054,3690945333,0,5516225289,1841,0,336,71122332,5.008771560,75,15.7,0,816255,3702753287,0,0,227631,205,447165,1157601235,0,792,3065,0,809741,206326,11113069898,0,29303839,0,121020,392,0,0,5574,0,0,0,319535937,0,112,0,895163850,1245,5,0,322410441,433410,258254864,646635,14768,3690758677,7,1394060092,0,5574853741,33472393,792,0,48842,0,0,284035,3718746202,316795762,1159685764,0,146,0
5653,649514892,1626547612,0,0,0,4,3219522422,938790,0,5,4888381180,63741284,0,225259732,27763118,62261554,97,217,0,0,4835252405,1765,28063697,1360,665605032,0,5,6249371013,0,23345,669691508,0,199039,156,700,93,28625677,22.6,9631444497,4905779838,0,6469259567,9586,12170,0,0,633962,3267398778,0,4878069656,1753,0,552,62108151,5.008957914,19,15.8,0,759629,3224512458,0,0,166483,190,435097,997965518,0,909,3796,0,712230,203302,10143036477,0,28361534,0,13030,351,0,0,5557,0,0,0,279349820,0,97,0,784668761,1161,4,0,279366255,421781,224375498,833856,10088,3248374776,4,1213977589,0,4964456340,27245653,908,0,11188,0,0,184707,3314653105,278893347,993025191,0,149,0
121750,662779991,1626547622,0,0,0,2,3250020007,957929,0,7,4987300374,62263308,0,232048582,26798434,63149311,109,210,0,0,4954697616,1862,27634038,1362,659602283,0,8,6300182172,0,23804,679746650,0,226844,159,767,100,27857191,22,9755090528,5011441861,0,6307942728,33659,88042,0,0,640879,3207366939,0,4823891731,1858,0,717,68023289,5.009706248,152,15.8,0,1279870,3301498385,0,0,160549,198,439931,1006919961,0,1682,5189,0,720675,201578,9762403687,0,27346435,0,19021,388,0,0,5712,0,0,0,303024629,0,111,0,794591431,1229,5,0,295416711,424042,227172539,1190780,15601,3221410795,3,1258418217,0,4887933966,26664163,1682,0,23599,0,0,471628,3248826481,295698922,1045585083,0,165,0
25822,722766115,1626547632,0,0,0,8,3558693094,1077863,0,21,5354497385,71885454,0,250065852,27106827,69892328,107,222,0,0,5512348341,1931,25577097,1375,743608091,0,21,6929586665,32,23776,743168667,0,272783,159,769,98,27531757,23,10845857855,5402364832,0,6917244732,18259,25010,32,0,696783,3538309346,0,5479466091,1923,0,1150,68906900,5.010840154,51,15.7,0,803303,3562401291,0,0,199339,203,442011,1118439625,0,1922,5786,0,782735,199068,10907979112,0,27567636,0,7528,415,0,0,6038,0,0,0,299554169,0,107,0,871235637,1233,5,0,300423215,426459,248110661,1034515,11096,3532065716,16,1338332022,0,5515120799,25870093,1922,0,6360,0,0,184552,3582533126,296967423,1108253490,0,230,0
