L1-icache-loads,ext4:ext4_da_update_reserve_space,L1-icache-load-misses,minor-faults,err_out,armv7_cortex_a7/ld_retired/,LLC-loads,raw_syscalls:sys_enter,armv7_cortex_a7/br_mis_pred/,armv7_cortex_a7/l1d_cache/,kmem:mm_page_free,instructions,branch-load-misses,ext4:ext4_free_inode,timer:timer_init,L1-dcache-stores,armv7_cortex_a7/cid_write_retired/,L1-dcache-load-misses,pkt_out,armv7_cortex_a7/l1i_cache_refill/,bus-cycles,write_merge,armv7_cortex_a7/pc_write_retired/,net:netif_rx,net_in,context-switches,tcp:tcp_probe,armv7_cortex_a7/inst_retired/,ext4:ext4_releasepage,armv7_cortex_a7/bus_cycles/,ioreadtime,pagemap:mm_lru_activate,armv7_cortex_a7/l1i_tlb_refill/,armv7_cortex_a7/l1i_cache/,filemap:mm_filemap_add_to_page_cache,ext4:ext4_evict_inode,seconds,mmc:mmc_request_done,cache-references,L1-dcache-store-misses,drop_out,block:block_touch_buffer,ext4:ext4_ext_load_extent,armv7_cortex_a7/cpu_cycles/,jbd2:jbd2_handle_stats,armv7_cortex_a7/exc_return/,armv7_cortex_a7/l2d_cache/,timer:tick_stop,ext4:ext4_sync_file_enter,block:block_split,iowritetime,timer:timer_start,time,LLC-load-misses,ext4:ext4_writepages_result,iowrite,read_merge,napi:napi_poll,drop_in,block:block_bio_frontmerge,page-faults,cpu,iobusytime,gpio:gpio_value,ioread,iTLB-load-misses,LLC-store-misses,filemap:mm_filemap_delete_from_page_cache,armv7_cortex_a7/l1d_tlb_refill/,ext4:ext4_es_lookup_extent_enter,dTLB-load-misses,jbd2:jbd2_checkpoint_stats,net_out,kmem:kfree,iowritebytes,ext4:ext4_unlink_enter,branch-instructions,armv7_cortex_a7/l1d_cache_refill/,armv7_cortex_a7/l2d_cache_wb/,armv7_cortex_a7/br_immed_retired/,armv7_cortex_a7/br_pred/,cache-misses,rpm:rpm_return_int,block:block_bio_remap,pkt_in,sched:sched_process_exec,memory,cpu-migrations,sched:sched_waking,irq:softirq_exit,task:task_newtask,dTLB-store-misses,LLC-stores,armv7_cortex_a7/exc_taken/,cpu-cycles,kmem:mm_page_alloc_zone_locked,armv7_cortex_a7/st_retired/,ext4:ext4_journal_start,fib:fib_table_lookup,sched:sched_stat_runtime,branch-loads,block:block_dirty_buffer,writeback:sb_clear_inode_writeback,random:credit_entropy_bits,armv7_cortex_a7/mem_access/,timer:timer_cancel,branch-misses,armv7_cortex_a7/unaligned_ldst_retired/,L1-dcache-loads,err_in,workqueue:workqueue_execute_start,armv7_cortex_a7/l1d_cache_wb/,kmem:kmem_cache_alloc,writeback:wait_on_page_writeback,writeback:global_dirty_state,ioreadbytes
474548022,0,16903783,4841,0,40365259,28952462,11777,6379298,235689677,2129,443068784,7982140,0,249,259559539,96,3388684,61,3405795,279761274,0,30554507,61,5581,3265,36,495541356,0,193093106,0,127,6299,233673037,0,0,5.011225706,471,188495041,4010570,0,51,0,520627018,0,61955,5288992,1040,0,0,0,908,1626552888,1987773,0,0,0,54,0,0,4841,4.3,0,7,0,30706,1892392,6,25684,61,59541,0,16147,4938,0,0,34166553,2401119,64403,60503355,66964527,1866230,333,0,64,19,16.3,19,1820,1743,28,55576,22392726,62505,718015642,254,26444667,0,33,570646061,85455799,0,0,31,109870175,912,4030579,252,223065681,0,264,2765335,11076,0,0,0
234887318,0,5057743,2563,0,118570741,6253049,8820,3662591,147168053,621,295388283,3229615,0,212,129864826,406,928573,113,13596742,241924693,0,61378589,49,11283,3076,26,295360803,0,338624790,0,0,78330,369978154,0,0,5.008940199,365,142251673,987589,0,7,0,344355049,0,57846,27760766,1023,0,0,0,735,1626552897,461257,0,0,0,43,0,0,2560,8.3,0,7,0,8375,302277,0,78961,7,8709,0,70275,3721,0,0,53203333,1736108,384356,29896870,41939790,1201965,268,0,91,8,17.2,7,1620,1425,10,9322,4307646,52669,474318958,214,60569727,0,22,421050753,43003650,0,0,38,274834837,738,4267147,96987,122660817,0,210,2346382,5605,0,0,0
8654750537,0,107186195,24435,0,2365559899,157604044,147789,36455539,6674854878,5078,13599047661,32583360,0,268,6185145505,117947,21605755,213,99800493,7773089927,0,1423342275,271,12569,274204,20,15124748363,0,7496726118,653,1,46642,8878414317,961,0,5.009750623,1119,6060381777,22458775,0,18,1,16651804010,0,788925,148442821,45243,0,0,0,1789,1626552906,11201838,0,0,30,269,0,0,24497,56.3,360,137,120,44698,11708317,0,146569,90,169552,0,154242,15443,0,0,1369364591,17845105,4467664,1191412174,1957475370,18427344,756,71,139,3,27.5,43,139057,5288,6,153540,152901371,490046,16200850290,24781,721351344,0,347,12395250386,1760939237,0,0,67,5905536972,1791,38312518,236141,6130716437,0,552,24071282,3866,0,0,5984256
5447852898,0,129054872,6700,0,1516716124,180697768,134133,50153585,3085156642,18081,7355935652,53037170,0,259,3141813193,1581,19156955,213,134101155,5348935889,0,692029336,306,15827,243726,11,7290667331,0,5292968508,0,0,61698,5335304909,0,0,5.013680198,1054,3233270308,16769255,0,0,0,10467161245,0,579420,179283542,76213,0,0,0,1712,1626552915,6846888,0,0,0,306,0,0,6698,34.2,0,4,0,46954,8894537,0,215728,0,252790,0,158878,14829,0,0,679093340,17464450,5975106,804516783,1045987339,18005852,678,0,138,1,23.4,2,128186,4724,0,256932,174223551,378606,10597418245,8248,730263181,0,388,6982921972,1049756189,0,0,66,3104859695,1714,48145241,8973259,3112262906,0,358,21358395,1823,0,0,0
6421344576,0,104870893,3265,0,1871233995,167297280,142306,75464031,3113625296,4117,9753224427,74833372,0,283,3105830176,6387,32400455,201,109002739,5843572103,0,885544878,262,11573,256704,17,9569105097,0,5711368193,0,0,98355,6478848316,0,0,5.009435713,1030,3172126084,32504692,0,0,0,11145270290,0,589393,167873762,98341,0,0,0,1702,1626552924,12288736,0,0,0,260,0,0,3265,35.8,0,5,0,34519,11708020,0,135748,0,117029,0,151102,16786,0,0,894835181,17604284,6294912,1000723285,1162283193,24424459,629,0,125,14,23.3,20,130428,5046,16,115528,159549654,387740,11693109186,2991,661759113,0,338,7126397924,1157953359,0,0,66,3177997641,1705,78173622,284763,3091563320,0,331,24745241,8767,0,0,0
6373228848,0,98871711,2481,0,1882643879,158427562,137350,77272080,3062274255,6745,9468983605,76051149,0,262,3047978687,3660,20714459,200,100648688,5492967643,0,904292989,256,15277,251923,10,9516017494,0,5539363791,0,0,52985,6371387584,0,0,5.009086254,978,3043862104,19970394,0,0,0,11429429576,0,597587,165779518,88229,0,0,0,1617,1626552933,11540473,0,0,0,256,0,0,2478,32.9,0,5,0,44942,11696539,0,121919,0,109916,0,153724,16140,0,0,872734332,17748151,6422828,1003885613,1168972467,23195743,583,0,131,12,20.3,13,128048,4921,13,121382,156287582,390985,11075674603,2963,652366341,0,346,7024994254,1166332777,0,0,63,3178640289,1617,74716005,344313,3013906337,0,306,24537931,7180,0,0,0
5309605610,0,122817387,3242,0,1392111891,171428170,166756,62717066,2675422297,9266,7800673326,64980398,0,280,2845008045,2728,24807705,202,109583572,4908349945,0,693203826,262,13248,297281,17,7410434318,0,4802336404,0,0,42668,5037085639,0,0,5.009560997,1050,2807135002,22229697,0,0,0,9373924078,0,659096,162785243,90988,0,0,0,1721,1626552943,7958757,0,0,0,260,0,0,3242,27.7,0,5,0,41190,7754043,0,84186,0,86569,0,149680,16377,0,0,728609225,22713916,4345894,812058146,981438913,23217386,639,0,130,14,17.9,25,154633,4869,16,82715,177295411,432407,10283507540,2525,574114375,0,331,5609810897,1013921230,0,0,66,2632177813,1724,63015971,269209,2826335863,0,335,27635052,8430,0,0,0
5167722343,0,111128478,2762,0,1390893746,177064777,164722,60516701,2574229171,3583,7467120146,60833554,0,269,2699308335,1929,17884151,204,110762445,4744636272,0,680999089,256,15558,282814,13,7235740923,0,4624145673,0,0,48279,4976899287,0,0,5.009443717,992,2658530257,15519517,0,6,0,9211255730,0,620050,162699105,92129,0,0,0,1642,1626552952,7159805,0,0,0,256,0,0,2761,27.3,0,4,0,40352,7268352,0,77534,8,82291,0,149060,15933,0,0,681526853,19909702,4540312,778329193,942900513,19358835,586,0,135,16,18,13,154125,4871,17,78970,181676619,414732,9653580392,2476,560979610,0,338,5425873295,959297456,0,0,64,2603220929,1647,60080722,265184,2719912981,0,315,24936510,7452,0,0,0
5473851574,0,129632821,2520,0,1438365964,191403825,167461,62651200,2736460228,3445,7658099709,65216223,0,259,2815107201,2729,18133194,201,122541570,4944902396,0,714108755,258,11458,313167,11,7513267389,0,4856985755,0,0,48300,5210898622,0,0,5.009716478,1029,2766651050,17508390,0,0,0,9628350613,0,686503,172470943,119228,0,0,0,1673,1626552961,9036741,0,0,0,258,0,0,2520,26.9,0,5,0,44322,7461900,0,90284,0,90984,0,148169,15837,0,0,727270077,20851890,4493980,812669187,994502009,19026747,629,0,126,12,17.9,16,157908,4765,13,89275,189984633,445091,9823929201,2456,594431527,0,344,5603737329,1021536168,0,0,65,2726788115,1671,63343314,241226,2773810297,0,331,25233259,6918,0,0,0
5223714747,0,119284065,1728,0,1452713779,152819987,167693,67214069,2776967460,2806,7609645408,65172358,0,250,2741897083,1907,10225905,211,121499941,4662481705,0,715506132,259,11979,311574,14,7682488787,0,4636724966,0,0,50642,5299077765,0,0,5.016623115,1019,2784667888,10361134,0,0,0,9758271180,0,685669,171205380,104320,0,0,0,1655,1626552970,6416405,0,0,0,259,0,0,1728,26.5,0,5,0,54192,6499342,0,95243,0,97515,0,156619,15736,0,0,730387927,22375987,4532211,839609811,1038967306,11016077,604,0,132,8,18.6,13,158595,4684,8,96407,152428027,449028,9251145859,2452,593097566,0,347,5562939121,1001390364,0,0,66,2728657856,1654,64374341,238310,2750892436,0,316,25840898,5596,0,0,0
5195715558,0,122486528,68,0,1437231927,157581105,167683,63184349,2748213666,2248,7553850128,63271140,0,256,2742092598,2015,10984585,200,122642779,4663353070,0,706304194,263,15406,321382,10,7530165649,0,4579196525,0,0,38197,5204230833,0,0,5.013352665,1060,2778761574,10536408,0,0,0,9257139519,0,690773,155335858,121282,0,0,0,1709,1626552979,6445387,0,0,0,263,0,0,68,27.3,0,5,0,41490,6585991,0,75351,0,82141,0,149507,15291,0,0,715188636,10684230,4395488,785869459,971918555,11122768,637,0,132,1,18.7,5,161864,4743,0,79288,157250966,454373,9324650806,2120,600382473,0,342,5583524357,984446442,0,0,66,2742743735,1710,63317861,251931,2728721625,0,328,14673161,2098,0,0,0
5149398942,0,119853366,830,0,1440253058,155504325,166427,66176944,2758212801,2438,7459153813,62768101,0,267,2715170003,2963,11360420,232,118155013,4540020582,0,705922897,256,12915,315813,14,7621280183,0,4570042588,0,0,42956,5224868694,0,0,5.009173746,1037,2742646472,11339262,0,0,0,9596608758,0,681825,177904956,102733,0,0,0,1691,1626552990,6093632,0,0,0,256,0,0,826,27.4,0,5,0,54833,6483749,0,85558,0,93443,0,172238,15428,0,0,713322832,28821287,4385313,807442421,1013301784,11720077,618,0,143,4,18.6,12,159650,4727,4,91291,155148406,445640,9149049490,2251,592941044,0,334,5515446087,975328337,0,0,65,2734934937,1690,61784001,258532,2715378895,0,312,32305813,3492,0,0,0
5268118592,0,125565796,44,0,1448386258,164144331,167658,63520823,2780039841,2244,7665636926,63997152,0,258,2765737425,2672,13126478,195,127024028,4686389821,0,718420833,266,17507,323401,10,7606311765,0,4632138281,0,0,39643,5305408557,0,0,5.009006873,1075,2809658170,13221016,0,0,0,9276093236,0,698483,164066217,127714,0,0,0,1727,1626552999,6105776,0,0,0,266,0,0,39,26.9,0,5,0,37984,6268298,0,82746,0,78139,0,149516,15292,0,0,735506523,13158242,4250912,793354297,988153824,13829926,655,0,136,1,18.6,7,162433,4679,0,79101,163500404,453168,9379389529,2100,608749572,0,332,5598947435,988987287,0,0,66,2771766691,1727,64013120,231263,2777706749,0,338,17664040,2084,0,0,0
5246273101,0,122843455,51,0,1436753020,157428917,167264,64183480,2752441544,2265,7658565341,63627354,0,252,2783775954,1822,12080338,234,124063834,4729103202,0,710807426,254,18515,319202,14,7532105320,0,4630270108,0,0,44133,5257137871,0,0,5.010850375,985,2798791430,11765224,0,0,0,9274189214,0,683508,157410762,123315,0,0,0,1637,1626553008,6363207,0,0,0,254,0,0,51,30.6,0,5,0,38395,6531600,0,81599,0,79555,0,162478,15365,0,0,721790915,11532528,4432659,795498866,986013187,12191338,607,0,151,1,18.6,4,161044,4503,0,74527,155631468,447370,9405793344,2184,607364541,0,331,5562851712,985048131,0,0,66,2751096979,1640,64599603,269405,2782718318,0,330,16039003,2235,0,0,0
5093552300,0,113574069,858,0,1433570464,149592438,163868,62192387,2648185341,2628,7372261256,61949564,0,253,2653599564,1840,12166740,202,118299540,4516750470,0,699112508,260,15465,297172,10,7363321175,0,4521404250,0,1,51628,5174404014,0,0,5.009263320,1009,2685299283,12021740,0,17,0,8936649922,0,643638,162299853,101776,0,0,0,1639,1626553018,6177967,0,0,0,260,0,0,858,27,0,5,0,36100,6448771,0,82132,29,79316,0,148764,15446,0,0,706073242,12206685,4675221,766906644,958676963,12410529,601,0,133,9,18.6,3,156765,4726,9,78752,149371795,423224,9041937715,2193,590674336,0,336,5443026439,952194042,0,0,65,2719091977,1640,62021601,256093,2660015820,0,321,17033469,3818,0,0,0
